
Rk,Year,Tm,Lg,G,W,L,Ties,W-L%,pythW-L%,Finish,GB,Playoffs,R,RA,BatAge,PAge,#Bat,#P,Top Player,Managers
52,1963,New York Yankees,AL,161,104,57,0,.646,.620,1st of 10,--,Lost WS (4-0),714,547,27.9,26.7,30,13,E.Howard (5.2),R.Houk (104-57)
53,1962,New York Yankees,AL,162,96,66,0,.593,.583,1st of 10,--,Won WS (4-3),817,680,28.1,27.7,33,15,M.Mantle (5.9),R.Houk (96-66)
54,1961,New York Yankees,AL,163,109,53,1,.673,.634,1st of 10,--,Won WS (4-1),827,612,28.4,27.7,36,16,M.Mantle (10.5),R.Houk (109-53)
55,1960,New York Yankees,AL,155,97,57,1,.630,.579,1st of 8,--,Lost WS (4-3),746,627,28.2,28.4,38,16,R.Maris (7.5),C.Stengel (97-57)
56,1959,New York Yankees,AL,155,79,75,1,.513,.527,3rd of 8,15.0,,687,647,28.4,28.4,37,17,M.Mantle (6.6),C.Stengel (79-75)
57,1958,New York Yankees,AL,155,92,62,1,.597,.623,1st of 8,--,Won WS (4-3),759,577,28.0,29.0,32,15,M.Mantle (8.7),C.Stengel (92-62)
58,1957,New York Yankees,AL,154,98,56,0,.636,.635,1st of 8,--,Lost WS (4-3),723,534,28.4,27.9,31,12,M.Mantle (11.3),C.Stengel (98-56)
59,1956,New York Yankees,AL,154,97,57,0,.630,.637,1st of 8,--,Won WS (4-3),857,631,28.1,26.4,38,15,M.Mantle (11.2),C.Stengel (97-57)
60,1955,New York Yankees,AL,154,96,58,0,.623,.631,1st of 8,--,Lost WS (4-3),762,569,28.0,27.5,40,16,M.Mantle (9.5),C.Stengel (96-58)
61,1954,New York Yankees,AL,155,103,51,1,.669,.658,2nd of 8,8.0,,805,563,28.5,29.7,39,17,M.Mantle (6.9),C.Stengel (103-51)
62,1953,New York Yankees,AL,151,99,52,0,.656,.668,1st of 8,--,Won WS (4-2),801,547,28.4,31.0,37,14,M.Mantle (5.3),C.Stengel (99-52)
63,1952,New York Yankees,AL,154,95,59,0,.617,.620,1st of 8,--,Won WS (4-3),727,557,27.8,30.9,39,16,M.Mantle (6.5),C.Stengel (95-59)
64,1951,New York Yankees,AL,154,98,56,0,.636,.613,1st of 8,--,Won WS (4-2),798,621,28.6,30.8,41,19,Y.Berra (4.7),C.Stengel (98-56)
65,1950,New York Yankees,AL,155,98,56,1,.636,.625,1st of 8,--,Won WS (4-0),914,691,29.2,30.6,38,15,P.Rizzuto (6.7),C.Stengel (98-56)
66,1949,New York Yankees,AL,155,97,57,1,.630,.618,1st of 8,--,Won WS (4-1),829,637,28.5,29.9,37,14,J.DiMaggio (4.4),C.Stengel (97-57)
67,1948,New York Yankees,AL,154,94,60,0,.610,.635,3rd of 8,2.5,,857,633,29.7,28.9,35,13,J.DiMaggio (7.1),B.Harris (94-60)
68,1947,New York Yankees,AL,155,97,57,1,.630,.649,1st of 8,--,Won WS (4-3),794,568,30.0,29.9,39,17,J.DiMaggio (4.8),B.Harris (97-57)
69,1946,New York Yankees,AL,154,87,67,0,.565,.601,3rd of 8,17.0,,684,547,30.1,30.6,46,22,C.Keller (6.1),J.McCarthy (22-13) B.Dickey (57-48) and J.Neun (8-6)
70,1945,New York Yankees,AL,152,81,71,0,.533,.550,4th of 8,6.5,,676,606,30.2,30.4,32,14,S.Stirnweiss (8.7),J.McCarthy (81-71)
71,1944,New York Yankees,AL,154,83,71,0,.539,.540,3rd of 8,6.0,,674,617,29.2,29.1,32,13,S.Stirnweiss (8.5),J.McCarthy (83-71)
72,1943,New York Yankees,AL,155,98,56,1,.636,.595,1st of 8,--,Won WS (4-1),669,542,28.3,30.1,26,11,S.Chandler (7.3),J.McCarthy (98-56)
73,1942,New York Yankees,AL,154,103,51,0,.669,.698,1st of 8,--,Lost WS (4-1),801,507,28.3,30.6,31,13,J.Gordon (8.2),J.McCarthy (103-51)
74,1941,New York Yankees,AL,156,101,53,2,.656,.623,1st of 8,--,Won WS (4-1),830,631,27.4,29.7,27,12,J.DiMaggio (9.1),J.McCarthy (101-53)
75,1940,New York Yankees,AL,155,88,66,1,.571,.589,3rd of 8,2.0,,817,671,28.1,30.0,27,13,J.DiMaggio (7.2),J.McCarthy (88-66)
76,1939,New York Yankees,AL,152,106,45,1,.702,.734,1st of 8,--,Won WS (4-0),967,556,27.7,30.5,27,12,J.DiMaggio (8.1),J.McCarthy (106-45)
77,1938,New York Yankees,AL,157,99,53,5,.651,.637,1st of 8,--,Won WS (4-0),966,710,28.3,30.1,28,14,R.Ruffing (6.1),J.McCarthy (99-53)
78,1937,New York Yankees,AL,157,102,52,3,.662,.666,1st of 8,--,Won WS (4-1),979,671,28.6,29.9,28,12,L.Gomez (9.2),J.McCarthy (102-52)
79,1936,New York Yankees,AL,155,102,51,2,.667,.666,1st of 8,--,Won WS (4-2),1065,731,28.1,28.9,28,11,L.Gehrig (9.1),J.McCarthy (102-51)
80,1935,New York Yankees,AL,149,89,60,0,.597,.616,2nd of 8,3.0,,818,632,28.4,27.0,27,10,L.Gehrig (8.6),J.McCarthy (89-60)
81,1934,New York Yankees,AL,154,94,60,0,.610,.604,2nd of 8,7.0,,842,669,28.3,26.7,31,14,L.Gehrig (10.4),J.McCarthy (94-60)
82,1933,New York Yankees,AL,152,91,59,2,.607,.585,2nd of 8,7.0,,927,768,28.9,28.4,29,14,L.Gehrig (6.9),J.McCarthy (91-59)
83,1932,New York Yankees,AL,156,107,47,2,.695,.644,1st of 8,--,Won WS (4-0),1002,724,28.4,28.5,32,14,B.Ruth (8.3),J.McCarthy (107-47)
84,1931,New York Yankees,AL,155,94,59,2,.614,.650,2nd of 8,13.5,,1067,760,27.9,27.4,28,12,B.Ruth (10.3),J.McCarthy (94-59)
85,1930,New York Yankees,AL,154,86,68,0,.558,.576,3rd of 8,16.0,,1062,898,27.1,27.9,36,18,B.Ruth (10.5),B.Shawkey (86-68)
86,1929,New York Yankees,AL,154,88,66,0,.571,.567,2nd of 8,18.0,,899,775,27.4,28.9,31,12,B.Ruth (8.0),M.Huggins (82-61) and A.Fletcher (6-5)
87,1928,New York Yankees,AL,154,101,53,0,.656,.619,1st of 8,--,Won WS (4-0),894,685,28.1,28.8,30,13,B.Ruth (10.1),M.Huggins (101-53)
88,1927,New York Yankees,AL,155,110,44,1,.714,.709,1st of 8,--,Won WS (4-0),975,599,27.8,31.0,25,10,B.Ruth (12.4),M.Huggins (110-44)
89,1926,New York Yankees,AL,155,91,63,1,.591,.578,1st of 8,--,Lost WS (4-3),847,713,27.1,30.7,31,11,B.Ruth (11.5),M.Huggins (91-63)
90,1925,New York Yankees,AL,156,69,85,2,.448,.458,7th of 8,28.5,,706,774,28.2,29.9,36,13,U.Shocker (6.3),M.Huggins (69-85)
91,1924,New York Yankees,AL,153,89,63,1,.586,.581,2nd of 8,2.0,,798,667,29.2,29.3,31,12,B.Ruth (11.7),M.Huggins (89-63)
92,1923,New York Yankees,AL,152,98,54,0,.645,.625,1st of 8,--,Won WS (4-2),823,622,28.1,28.8,25,8,B.Ruth (14.1),M.Huggins (98-54)
93,1922,New York Yankees,AL,154,94,60,0,.610,.592,1st of 8,--,Lost WS (4-0),758,618,27.9,28.0,26,8,B.Shawkey (6.7),M.Huggins (94-60)
94,1921,New York Yankees,AL,153,98,55,0,.641,.630,1st of 8,--,Lost WS (5-3),948,708,27.7,27.4,27,11,B.Ruth (12.6),M.Huggins (98-55)
95,1920,New York Yankees,AL,154,95,59,0,.617,.628,3rd of 8,3.0,,838,629,27.8,29.0,26,10,B.Ruth (11.8),M.Huggins (95-59)
96,1919,New York Yankees,AL,141,80,59,2,.576,.561,3rd of 8,7.5,,578,506,28.4,28.1,30,12,R.Peckinpaugh (6.3),M.Huggins (80-59)
97,1918,New York Yankees,AL,126,60,63,3,.488,.517,4th of 8,13.5,,493,475,28.2,26.7,36,15,H.Baker (4.9),M.Huggins (60-63)
98,1917,New York Yankees,AL,155,71,82,2,.464,.471,6th of 8,28.5,,524,558,26.7,27.0,37,15,H.Baker (4.6),B.Donovan (71-82)
99,1916,New York Yankees,AL,156,80,74,2,.519,.513,4th of 8,11.0,,577,561,26.1,25.6,35,13,B.Shawkey (6.8),B.Donovan (80-74)
100,1915,New York Yankees,AL,154,69,83,2,.454,.497,5th of 8,32.5,,584,588,26.5,26.7,40,17,R.Caldwell (5.8),B.Donovan (69-83)
101,1914,New York Yankees,AL,157,70,84,3,.455,.489,6th of 8,30.0,,537,550,26.3,25.8,36,10,R.Caldwell (6.9),F.Chance (60-74) and R.Peckinpaugh (10-10)
102,1913,New York Yankees,AL,153,57,94,2,.377,.395,7th of 8,38.0,,529,668,27.1,26.4,44,13,R.Caldwell (4.7),F.Chance (57-94)
103,1912,New York Highlanders,AL,153,50,102,1,.329,.370,8th of 8,55.0,,630,842,26.7,26.7,44,13,J.Warhop (6.7),H.Wolverton (50-102)
104,1911,New York Highlanders,AL,153,76,76,1,.500,.475,6th of 8,25.5,,684,723,27.0,25.4,35,11,R.Ford (6.7),H.Chase (76-76)
105,1910,New York Highlanders,AL,156,88,63,5,.583,.553,2nd of 8,14.5,,626,557,27.4,25.4,31,10,R.Ford (11.5),G.Stallings (78-59) and H.Chase (10-4)
106,1909,New York Highlanders,AL,153,74,77,2,.490,.502,5th of 8,23.5,,589,587,27.8,26.5,35,15,J.Warhop (4.3),G.Stallings (74-77)
107,1908,New York Highlanders,AL,155,51,103,1,.331,.310,8th of 8,39.5,,460,713,28.2,28.8,32,14,C.Hemphill (3.8),C.Griffith (24-32) and K.Elberfeld (27-71)
108,1907,New York Highlanders,AL,152,70,78,4,.473,.455,5th of 8,21.0,,605,667,28.1,29.3,33,17,J.Chesbro (4.5),C.Griffith (70-78)
109,1906,New York Highlanders,AL,155,90,61,4,.596,.575,2nd of 8,3.0,,640,543,28.2,29.4,26,11,A.Orth (8.7),C.Griffith (90-61)
110,1905,New York Highlanders,AL,152,71,78,3,.477,.473,6th of 8,21.5,,586,621,29.2,29.0,35,11,A.Orth (5.9),C.Griffith (71-78)
111,1904,New York Highlanders,AL,155,92,59,4,.609,.558,2nd of 8,1.5,,598,526,29.3,29.1,26,9,J.Chesbro (11.0),C.Griffith (92-59)
112,1903,New York Highlanders,AL,136,72,62,2,.537,.505,4th of 8,17.0,,579,573,29.0,28.5,28,11,J.Chesbro (4.7),C.Griffith (72-62)
