W-L,pythW-L,R,RA,BatAge,PAge,#Bat,#P,ttlsalary,YPN2,YPN3,YPN4,YPN5,YPN6,AB,H,2b,3b,hr,bb,so,sb,cs,hbp,sf,ER,ERA,CG,SHO,SV,IPOuts,HA,HRA,BBA,SOA,E,DP,FP,attendance,YearP1W
0.549,0.543,818,744,30.8,29.6,53,25,162447333,0.586,0.586,0.593,0.531,0.586,5646,1511,358,22,211,587,1140,68,17,47,46,679,4.2,3,9,44,4370,1402,152,580,1207,127,132,0.98,3046443,0.556
0.407,0.389,613,785,28.7,28.4,45,23,81612500,0.395,0.422,0.426,0.432,0.457,5554,1440,264,21,133,424,1056,76,34,54,45,733,4.59,3,7,35,4309,1508,186,520,1007,123,141,0.98,1733018,0.426
0.562,0.573,738,629,28.6,30.1,43,21,84423666,0.531,0.444,0.519,0.488,0.556,5463,1411,312,25,139,634,1140,63,29,51,35,569,3.57,2,9,41,4318,1326,126,505,1241,145,165,0.98,2510119,0.549
0.401,0.428,713,836,26.8,27.9,48,28,60718166,0.432,0.506,0.556,0.469,0.475,5473,1366,301,34,180,589,1529,86,41,39,41,765,4.81,3,3,35,4296,1503,210,548,1070,121,152,0.98,2056941,0.58
0.494,0.486,681,702,29.6,28.3,46,21,104963866,0.599,0.617,0.58,0.549,0.586,5488,1363,276,19,155,466,1070,104,52,52,37,651,4.04,10,9,39,4348,1422,148,565,1130,131,116,0.98,3250816,0.531
0.364,0.406,710,874,28.4,27.4,55,30,59928000,0.366,0.451,0.438,0.5,0.414,5493,1416,271,38,156,617,1208,73,40,56,42,791,5.02,6,3,33,4273,1533,173,629,911,170,154,0.97,1817226,0.426
0.463,0.516,798,771,29.9,28.4,44,24,80538300,0.531,0.512,0.537,0.494,0.416,5696,1516,339,13,209,548,1028,73,23,45,49,720,4.47,10,10,25,4353,1509,181,551,1181,88,167,0.98,1876129,0.525
0.537,0.526,784,740,27.8,27.7,44,23,68178798,0.488,0.463,0.494,0.488,0.549,5526,1436,296,27,224,472,1253,149,36,37,51,698,4.38,8,11,45,4304,1432,171,531,1016,120,166,0.98,2156016,0.556
0.519,0.529,803,754,28,28.4,41,21,63313034,0.599,0.407,0.377,0.414,0.435,5462,1434,297,36,199,642,1229,194,61,49,45,686,4.36,3,5,41,4282,1421,183,515,1125,111,135,0.98,1874962,0.593
0.562,0.56,730,640,28.5,30.1,42,20,88528409,0.531,0.481,0.516,0.617,0.648,5465,1436,294,29,160,528,1041,75,31,61,43,586,3.66,8,11,43,4322,1407,123,460,1049,113,167,0.98,3343252,0.531
0.543,0.533,657,611,29,28.7,44,21,83026450,0.444,0.438,0.472,0.463,0.562,5493,1411,275,43,122,392,1158,78,28,50,55,571,3.55,11,18,41,4338,1268,140,584,1302,99,138,0.98,2862110,0.568
0.525,0.464,640,692,29.8,27.4,46,20,98904166,0.377,0.543,0.481,0.426,0.389,5543,1430,280,19,160,421,1093,89,33,49,44,625,3.87,4,10,49,4358,1359,172,534,1043,120,150,0.98,2195533,0.377
0.463,0.415,638,769,28,26.8,56,33,43333700,0.389,0.546,0.543,0.506,0.537,5425,1315,265,31,141,586,1182,82,29,57,36,704,4.37,2,9,45,4352,1422,167,603,1187,109,144,0.98,1919603,0.556
0.385,0.415,636,768,27,26.3,49,26,48693000,0.414,0.42,0.414,0.414,0.447,5417,1364,289,34,125,499,1142,90,32,46,36,723,4.59,5,7,28,4255,1491,152,563,919,80,169,0.98,1577853,0.352
0.574,0.566,820,709,31.3,31.2,41,22,113004046,0.568,0.549,0.525,0.543,0.531,5578,1439,312,35,224,589,1155,119,28,71,45,673,4.16,8,9,44,4367,1479,189,489,1153,86,132,0.98,3600693,0.599
0.463,0.499,759,761,29,25.7,51,26,61910000,0.466,0.469,0.574,0.543,0.562,5584,1464,307,21,135,527,1046,133,48,50,54,685,4.29,2,10,38,4342,1486,156,523,1124,121,153,0.98,1408783,0.5
0.636,0.588,915,753,30.5,29.3,45,24,201449189,0.549,0.58,0.599,0.586,0.623,5660,1604,325,21,244,663,1014,111,28,54,39,687,4.28,3,8,51,4350,1386,181,574,1260,101,131,0.98,3719358,0.586
0.432,0.445,671,757,29.5,29.2,53,24,149373987,0.549,0.543,0.599,0.512,0.438,5453,1472,295,49,95,526,928,122,44,36,55,705,4.46,3,12,39,4278,1452,158,616,1031,108,134,0.98,3168571,0.488
0.534,0.53,817,765,27.7,27.9,42,24,65299266,0.54,0.488,0.593,0.512,0.568,5608,1539,271,40,172,585,1021,85,32,45,57,726,4.5,4,7,48,4359,1542,185,466,1052,89,133,0.98,2416237,0.58
0.494,0.481,785,818,29.3,30,45,23,80182502,0.556,0.512,0.463,0.5,0.416,5510,1447,281,37,182,610,1231,68,37,71,47,770,4.84,1,8,44,4305,1498,207,607,1104,111,150,0.98,3037451,0.475
0.586,0.61,780,611,29.7,27.8,47,25,100414592,0.519,0.506,0.543,0.438,0.574,5592,1511,278,39,145,607,1068,116,48,63,44,558,3.41,1,9,44,4420,1265,127,584,1272,97,134,0.98,3761655,0.494
0.401,0.407,686,842,27.8,28.7,43,23,70519333,0.463,0.426,0.383,0.346,0.358,5532,1432,276,51,144,457,1091,88,29,42,32,765,4.83,10,9,34,4278,1486,166,600,1153,127,159,0.98,1797891,0.414
0.457,0.418,643,770,31.6,31.2,42,22,102996414,0.534,0.451,0.506,0.549,0.568,5436,1415,270,32,142,448,990,113,44,43,45,722,4.54,5,10,39,4290,1521,176,546,1144,88,161,0.98,2521076,0.469
0.537,0.504,772,766,27,26.3,44,27,36834000,0.522,0.438,0.481,0.512,0.512,5572,1493,296,25,159,568,1226,75,35,63,39,690,4.32,5,5,45,4339,1425,160,601,1248,118,129,0.98,1464109,0.494
0.528,0.499,743,745,29.7,26.6,45,23,115085145,0.457,0.543,0.586,0.438,0.444,5540,1443,245,35,183,540,1114,72,33,61,39,690,4.34,4,9,42,4341,1449,182,594,1102,106,164,0.98,2567165,0.5
0.568,0.553,804,715,27.8,28.5,45,25,75201000,0.457,0.552,0.469,0.414,0.42,5398,1408,300,50,190,660,1277,106,55,47,60,675,4.24,5,7,45,4315,1427,141,528,1154,103,144,0.98,2665080,0.512
0.401,0.449,773,865,27.4,27.8,52,29,81579166,0.5,0.593,0.481,0.574,0.494,5568,1468,314,28,161,582,1211,84,31,81,50,806,5.07,5,6,25,4302,1570,183,598,986,114,169,0.98,1766242,0.426
0.481,0.467,673,723,27.9,29,46,22,73558500,0.457,0.444,0.494,0.451,0.469,5462,1349,280,25,158,531,1129,96,40,53,41,677,4.18,6,12,41,4375,1420,188,577,1069,104,161,0.98,1747919,0.562
0.488,0.495,724,732,29.8,29.5,45,24,96068500,0.546,0.444,0.556,0.611,0.512,5463,1410,246,20,184,534,1022,113,49,62,39,663,4.16,4,11,36,4319,1438,169,507,1119,128,156,0.98,2284163,0.543
0.516,0.523,707,672,29.9,28.4,45,24,134809000,0.602,0.525,0.407,0.488,0.549,5486,1398,293,29,161,592,1185,56,34,59,42,616,3.84,3,8,40,4336,1329,160,586,1272,127,144,0.98,3168859,0.463
0.586,0.577,872,736,30,29.8,52,27,121345999,0.586,0.593,0.531,0.586,0.605,5543,1495,335,25,212,659,1120,126,39,70,51,695,4.35,8,11,41,4310,1494,167,530,1230,92,119,0.98,3062699,0.549
0.395,0.424,741,876,28.7,28.1,48,27,67101666,0.422,0.426,0.432,0.457,0.481,5618,1508,307,19,160,517,1013,76,37,39,46,817,5.16,2,3,31,4287,1633,218,546,933,108,151,0.98,1907163,0.407
0.531,0.562,735,641,28.8,28.9,45,21,96726166,0.444,0.519,0.488,0.556,0.593,5539,1459,300,20,149,602,1064,58,26,52,47,581,3.57,3,10,38,4388,1399,119,530,1232,107,158,0.98,2373631,0.562
0.432,0.462,720,782,26.5,27.7,45,24,73115666,0.506,0.556,0.469,0.475,0.315,5565,1408,307,45,173,571,1298,102,40,37,41,711,4.44,4,12,36,4343,1470,168,525,1158,151,132,0.97,2128765,0.401
0.599,0.568,883,761,29.6,28.6,46,25,113709000,0.617,0.58,0.549,0.586,0.568,5622,1604,293,33,173,547,1054,148,63,41,52,715,4.45,9,13,51,4335,1513,180,523,1062,99,174,0.98,3240386,0.494
0.366,0.387,641,825,27.7,27.3,50,25,54961000,0.451,0.438,0.5,0.414,0.512,5491,1376,269,26,117,534,1095,81,43,67,36,742,4.66,2,8,28,4302,1496,190,588,1063,123,141,0.98,2320400,0.364
0.531,0.572,714,610,30.9,28.6,43,19,97793900,0.512,0.537,0.494,0.416,0.531,5503,1453,303,32,126,521,938,80,27,59,56,561,3.49,15,13,44,4340,1330,134,467,1184,84,137,0.98,2399786,0.463
0.488,0.468,901,967,27.7,28.1,55,30,67712326,0.463,0.494,0.488,0.549,0.438,5728,1619,376,35,194,595,1207,81,25,63,54,860,5.37,6,8,36,4326,1647,176,625,963,132,191,0.97,1945677,0.537
0.599,0.565,774,671,27.1,27.5,46,21,43820597,0.407,0.377,0.414,0.435,0.389,5541,1443,284,37,180,626,1224,142,50,68,52,618,3.82,7,12,52,4373,1349,166,526,1143,90,153,0.98,1811986,0.519
0.531,0.533,779,725,28.8,30.2,43,24,99624449,0.481,0.516,0.617,0.648,0.525,5636,1585,283,26,174,577,985,73,32,42,44,677,4.2,2,7,42,4362,1517,163,496,957,85,156,0.98,3432917,0.562
0.444,0.423,640,759,29.6,27.1,49,20,76594500,0.438,0.472,0.463,0.562,0.621,5543,1452,311,37,94,452,1044,108,46,48,44,701,4.38,4,12,41,4326,1416,147,652,1240,96,130,0.98,2863837,0.543
0.377,0.414,671,811,29.6,28.5,44,22,117666482,0.543,0.481,0.426,0.389,0.574,5643,1498,285,20,124,417,890,90,32,38,42,754,4.73,4,4,36,4306,1544,161,626,1016,99,159,0.98,2329702,0.525
0.389,0.418,637,764,28.9,30.2,59,32,73677616,0.546,0.543,0.506,0.537,0.395,5568,1390,264,27,154,518,1259,36,17,53,46,714,4.41,3,6,30,4375,1466,165,561,1100,85,148,0.98,2427535,0.463
0.414,0.416,735,884,28.4,26.5,47,26,48689783,0.42,0.414,0.414,0.447,0.463,5628,1454,314,21,153,474,1039,57,19,59,51,822,5.1,3,7,34,4365,1631,176,657,963,107,178,0.98,1609076,0.385
0.568,0.573,799,680,30.1,30.6,40,18,97879880,0.549,0.525,0.543,0.531,0.531,5509,1407,291,36,214,586,1117,136,25,67,40,625,3.89,4,11,47,4349,1444,160,533,1081,90,142,0.98,3422583,0.574
0.466,0.47,646,690,27.2,26.5,51,24,47967126,0.469,0.574,0.543,0.562,0.593,5451,1318,270,23,125,574,1226,88,21,48,35,640,4.01,4,7,33,4305,1364,135,576,1061,98,169,0.98,1665256,0.463
0.549,0.537,789,727,31.3,30.6,51,27,207896789,0.58,0.599,0.586,0.623,0.623,5572,1512,289,20,180,535,1015,118,39,80,39,685,4.28,1,11,42,4325,1478,143,489,1141,83,141,0.98,4298655,0.636
0.549,0.551,799,715,30.1,29,50,24,137793376,0.543,0.599,0.512,0.438,0.41,5606,1491,274,38,172,619,1024,138,36,39,49,662,4.07,5,12,43,4393,1415,163,590,1181,83,125,0.98,4042045,0.432
0.54,0.549,829,745,26.4,27.5,40,19,56932766,0.488,0.593,0.512,0.568,0.556,5641,1572,298,49,111,529,979,102,42,36,72,675,4.18,5,10,42,4377,1568,183,406,995,108,168,0.98,2302431,0.534
0.556,0.539,750,689,28.7,29.9,44,20,80937499,0.512,0.463,0.5,0.416,0.42,5535,1398,324,35,198,550,1203,108,38,69,43,623,3.87,12,10,45,4367,1415,175,528,1110,101,160,0.98,3068458,0.494
0.519,0.535,700,648,28.5,29.5,46,22,118588536,0.506,0.543,0.438,0.574,0.525,5506,1455,271,29,137,543,1032,126,43,43,38,591,3.68,5,11,35,4342,1381,123,480,1205,101,137,0.98,3730553,0.586
0.463,0.444,691,781,28,27.6,43,25,58245500,0.426,0.383,0.346,0.358,0.512,5608,1507,303,28,120,392,1005,79,38,50,36,720,4.5,2,8,44,4337,1473,159,515,1085,96,159,0.98,1578922,0.401
0.534,0.481,712,743,31.1,30.9,41,20,88930414,0.451,0.506,0.549,0.568,0.537,5451,1432,284,22,167,449,1051,114,52,52,41,691,4.39,4,13,48,4276,1453,197,492,1095,67,141,0.98,2779487,0.457
0.522,0.502,770,767,28,26.6,45,22,21811500,0.438,0.481,0.512,0.512,0.562,5499,1397,302,28,208,543,1371,76,28,69,46,707,4.44,2,8,36,4306,1421,161,586,1127,117,122,0.98,1335076,0.537
0.457,0.48,821,857,30.3,29.9,46,25,137685196,0.543,0.586,0.438,0.444,0.265,5641,1529,293,41,200,572,1076,63,31,44,44,786,4.91,1,2,34,4335,1541,172,644,991,113,172,0.98,3202645,0.528
0.457,0.456,747,822,27.5,28.5,49,26,68655500,0.552,0.469,0.414,0.42,0.457,5557,1462,310,28,160,570,1209,141,37,57,38,766,4.77,3,8,36,4338,1547,148,562,1041,96,176,0.98,2650218,0.568
0.5,0.526,805,761,27.7,28.6,49,28,78970066,0.593,0.481,0.574,0.494,0.42,5543,1455,339,22,171,560,1213,77,29,103,49,711,4.46,10,13,31,4311,1530,170,444,986,94,183,0.98,2169760,0.401
0.457,0.442,704,800,28.6,28.7,48,23,74117695,0.444,0.494,0.451,0.469,0.426,5465,1351,269,24,187,560,1125,85,47,50,41,729,4.55,2,6,34,4327,1542,201,557,1227,114,155,0.98,2058632,0.481
0.546,0.549,811,729,30.5,28.3,39,19,121189332,0.444,0.556,0.611,0.512,0.531,5553,1458,296,13,235,540,1016,67,34,63,47,658,4.11,4,10,34,4373,1471,156,460,1147,108,154,0.98,2500648,0.488
0.602,0.609,855,671,30.1,28.9,42,23,118345833,0.525,0.407,0.488,0.549,0.543,5588,1552,329,21,184,636,1186,87,34,50,45,624,3.87,2,8,44,4352,1329,160,548,1264,99,118,0.98,3300200,0.516
0.586,0.589,845,694,29.8,29.2,47,23,133390035,0.593,0.531,0.586,0.605,0.586,5596,1565,353,33,173,646,1068,120,35,70,62,645,4.01,5,16,47,4339,1369,147,548,1185,85,147,0.98,3048250,0.586
0.422,0.452,782,869,30,27.9,46,26,67196246,0.426,0.432,0.457,0.481,0.438,5559,1486,322,30,172,533,990,81,37,42,48,810,5.15,4,4,35,4266,1538,184,687,922,100,163,0.98,1950075,0.395
0.444,0.485,753,778,27.2,28.6,49,28,102365683,0.519,0.488,0.556,0.593,0.623,5604,1514,316,33,130,618,1023,58,27,42,34,714,4.47,2,7,26,4322,1439,156,586,1076,107,149,0.98,2532834,0.531
0.506,0.509,720,706,26.7,29.4,41,20,66202712,0.556,0.469,0.475,0.315,0.519,5409,1355,318,47,159,587,1287,58,23,49,43,635,3.99,6,9,39,4304,1403,147,451,1229,113,136,0.98,2509924,0.432
0.617,0.542,765,697,28.9,27.6,41,19,119216333,0.58,0.549,0.586,0.568,0.475,5540,1486,274,25,159,481,987,129,48,52,50,644,4,7,10,66,4354,1455,160,457,1106,91,159,0.98,3336747,0.599
0.451,0.431,673,783,27.9,27.5,47,26,36947500,0.438,0.5,0.414,0.512,0.512,5520,1415,309,31,123,524,1128,69,23,53,41,736,4.58,0,6,46,4340,1502,187,580,931,109,151,0.98,1943812,0.366
0.512,0.534,753,699,30.3,27.3,46,23,81942800,0.537,0.494,0.416,0.531,0.481,5536,1434,344,24,165,533,1044,57,22,47,48,644,4,11,9,44,4346,1383,157,479,1067,102,160,0.98,2360644,0.531
0.463,0.485,816,844,29.3,27.7,50,25,68318675,0.494,0.488,0.549,0.438,0.444,5555,1460,298,36,179,503,1224,88,25,56,42,755,4.75,0,6,42,4290,1525,155,668,976,124,178,0.98,2353862,0.488
0.407,0.415,782,944,26.1,26.9,45,24,24123500,0.377,0.414,0.435,0.389,0.342,5593,1500,291,36,187,545,1324,131,48,53,52,879,5.53,2,2,28,4289,1649,199,568,1194,117,155,0.98,1387603,0.599
0.481,0.439,725,829,30.2,29.6,45,25,90286823,0.516,0.617,0.648,0.525,0.599,5529,1513,279,13,141,506,909,56,33,54,54,741,4.65,2,8,34,4307,1514,168,509,945,121,155,0.98,3552180,0.531
0.438,0.476,683,720,32.7,27.3,44,22,90219056,0.472,0.463,0.562,0.621,0.59,5538,1407,267,37,131,532,907,119,33,39,36,677,4.19,5,10,37,4361,1442,133,593,1057,88,146,0.98,3223215,0.444
0.543,0.489,794,813,29.8,28.1,44,23,106460833,0.481,0.426,0.389,0.574,0.574,5684,1629,284,22,153,389,861,81,30,62,40,754,4.73,6,12,43,4303,1578,147,546,1020,90,167,0.98,2672223,0.377
0.546,0.549,741,666,29.9,31.5,49,21,58110567,0.543,0.506,0.537,0.395,0.407,5612,1408,322,31,171,557,1229,55,24,49,44,611,3.7,1,20,45,4454,1406,119,474,1136,92,147,0.98,2790074,0.389
0.42,0.429,724,846,27.2,27.1,46,25,38537833,0.414,0.414,0.447,0.463,0.447,5569,1463,322,31,148,463,1135,68,30,71,51,793,4.93,4,5,32,4343,1627,174,518,997,83,189,0.98,1749142,0.414
0.549,0.538,892,821,28.8,30.6,46,28,89428213,0.525,0.543,0.531,0.531,0.497,5688,1558,326,41,213,641,1205,138,19,90,52,767,4.73,5,5,42,4375,1555,198,558,1050,89,164,0.98,3108325,0.568
0.469,0.49,741,758,28.8,26.9,54,24,79366940,0.574,0.543,0.562,0.593,0.636,5577,1430,295,16,171,664,1119,52,20,49,56,689,4.28,4,9,36,4344,1468,138,530,1036,90,151,0.98,1921844,0.466
0.58,0.599,968,777,30.7,31.4,49,28,189259045,0.599,0.586,0.623,0.623,0.64,5717,1656,326,32,201,637,991,123,40,78,54,724,4.49,1,5,34,4352,1498,150,578,1009,88,173,0.98,4271083,0.549
0.543,0.532,804,750,30.8,31.3,49,24,115231663,0.599,0.512,0.438,0.41,0.466,5605,1543,294,27,177,549,981,200,46,54,58,687,4.26,2,10,39,4357,1415,165,570,1134,101,124,0.98,3853955,0.549
0.488,0.496,718,725,28.4,27.4,42,19,71439500,0.593,0.512,0.568,0.556,0.584,5522,1460,273,36,118,512,839,112,30,48,45,663,4.15,5,8,38,4310,1505,185,420,1094,95,149,0.98,2296383,0.54
0.512,0.515,801,776,27.7,29.1,40,21,70986500,0.463,0.5,0.416,0.42,0.346,5554,1455,310,37,231,501,1137,96,32,76,47,708,4.41,3,6,49,4333,1513,161,507,1174,109,143,0.98,2869144,0.556
0.506,0.505,735,727,29.7,31.1,45,22,108454524,0.543,0.438,0.574,0.525,0.568,5613,1544,276,35,129,511,864,137,50,41,55,677,4.2,4,6,43,4350,1443,146,518,1184,114,160,0.98,3857036,0.519
0.426,0.456,706,778,27.9,27.1,45,23,67116500,0.383,0.346,0.358,0.512,0.383,5534,1447,300,46,102,428,1069,78,44,89,47,716,4.48,2,6,36,4312,1547,168,520,993,106,159,0.98,1616867,0.463
0.451,0.447,723,813,31.4,30.2,41,21,87759000,0.506,0.549,0.568,0.537,0.519,5605,1457,293,30,167,547,1043,65,33,55,40,761,4.68,2,6,38,4394,1566,206,510,1109,103,128,0.98,3020405,0.534
0.438,0.445,790,891,26.7,26.2,50,30,30507000,0.481,0.512,0.512,0.562,0.488,5627,1504,340,38,201,521,1332,105,34,82,42,793,4.94,0,4,40,4331,1617,176,661,1142,137,159,0.97,1370511,0.522
0.543,0.549,887,797,30.8,28.5,44,25,94800369,0.586,0.438,0.444,0.265,0.342,5757,1652,352,50,177,474,1054,103,30,56,45,735,4.57,1,9,44,4342,1498,174,566,1047,99,147,0.98,3047133,0.457
0.552,0.558,860,758,27.9,28.1,53,30,54041000,0.469,0.414,0.42,0.457,0.451,5691,1591,313,36,171,622,1152,100,31,58,44,706,4.32,4,7,39,4416,1497,164,504,967,68,179,0.98,2376250,0.457
0.593,0.564,811,704,28.1,29.4,41,21,61673267,0.481,0.574,0.494,0.42,0.457,5604,1504,305,27,178,590,1202,72,41,80,59,658,4.05,9,9,49,4388,1519,146,410,1047,92,166,0.98,2275912,0.5
0.444,0.461,783,853,29.7,29.1,51,25,68524980,0.494,0.451,0.469,0.426,0.481,5607,1496,293,23,204,536,1113,97,31,66,46,796,4.94,6,7,34,4349,1605,198,482,1068,95,153,0.98,2058593,0.457
0.444,0.413,693,839,29.6,27.7,43,21,108671833,0.556,0.611,0.512,0.531,0.5,5441,1341,249,20,190,532,1149,78,45,52,35,763,4.77,9,9,42,4322,1556,174,499,1015,108,166,0.98,2684395,0.546
0.525,0.539,752,690,29.3,28.4,47,22,99670332,0.407,0.488,0.549,0.543,0.414,5643,1530,340,28,151,500,1054,86,33,40,37,650,4.04,2,10,39,4340,1340,165,573,1211,94,134,0.98,3252462,0.602
0.593,0.624,867,657,30.2,31.1,40,20,143026214,0.531,0.586,0.605,0.586,0.574,5589,1561,352,35,166,689,1042,96,24,64,54,618,3.87,5,13,45,4316,1350,151,482,1149,81,145,0.98,2970755,0.586
0.426,0.437,756,868,30.4,29,49,27,93174808,0.432,0.457,0.481,0.438,0.414,5631,1529,306,30,142,500,939,144,42,47,47,827,5.17,4,9,30,4316,1491,161,696,1087,79,155,0.98,2164822,0.422
0.519,0.546,810,733,27.7,29.4,50,28,87290833,0.488,0.556,0.593,0.623,0.631,5689,1562,328,27,176,534,1149,64,30,49,47,665,4.11,1,6,36,4369,1442,172,537,1106,107,140,0.98,2745207,0.444
0.556,0.487,712,732,26.6,28.2,47,26,52067546,0.469,0.475,0.315,0.519,0.605,5398,1350,286,40,171,532,1111,109,24,57,58,662,4.13,7,12,51,4323,1446,169,546,1088,106,157,0.98,2325249,0.506
0.58,0.553,822,731,28.6,28.4,42,18,109251333,0.549,0.586,0.568,0.475,0.611,5554,1578,324,23,123,507,883,139,55,40,65,674,4.23,5,9,43,4305,1480,151,477,1156,101,154,0.98,3365632,0.617
0.438,0.429,746,872,28.5,28.9,57,29,63143000,0.5,0.414,0.512,0.512,0.42,5495,1437,322,22,164,594,1156,123,62,69,49,803,5.03,1,3,32,4309,1535,193,584,960,131,123,0.97,2153056,0.451
0.537,0.532,809,754,28.6,28.1,42,21,71365000,0.494,0.416,0.531,0.481,0.494,5596,1591,348,27,199,514,906,65,33,63,52,694,4.37,6,6,42,4285,1447,185,504,1076,99,157,0.98,2302212,0.512
0.494,0.529,835,784,28.4,28.3,51,26,68228662,0.488,0.549,0.438,0.444,0.451,5659,1571,357,23,183,505,1061,53,24,40,50,731,4.6,3,8,42,4294,1558,162,496,972,98,174,0.98,2388757,0.463
0.377,0.402,689,856,27.3,27,49,25,34917967,0.414,0.435,0.389,0.342,0.383,5474,1395,267,33,190,441,1106,134,52,47,43,782,4.96,3,7,33,4261,1600,180,606,979,116,156,0.98,1368950,0.407
0.516,0.511,781,762,29.6,28.6,41,19,88891371,0.617,0.648,0.525,0.599,0.574,5522,1484,292,27,184,531,922,59,32,61,40,721,4.54,6,9,38,4289,1475,193,504,970,98,170,0.98,3407104,0.481
0.472,0.474,746,790,33.6,28.7,44,21,90056419,0.463,0.562,0.621,0.59,0.556,5472,1418,297,52,163,494,891,58,25,53,37,735,4.63,7,9,37,4289,1422,153,584,992,91,132,0.98,3130313,0.438
0.481,0.479,756,792,28.6,28,49,25,87959833,0.426,0.389,0.574,0.574,0.716,5670,1540,266,42,172,404,974,106,37,63,38,739,4.6,6,6,47,4340,1500,183,560,1067,88,150,0.98,2481165,0.543
0.543,0.534,731,679,30.7,30.6,46,22,69896141,0.506,0.537,0.395,0.407,0.488,5576,1465,298,38,161,564,1104,123,31,40,47,629,3.87,4,11,50,4391,1385,176,468,1097,92,138,0.98,2659757,0.546
0.414,0.435,691,797,27.8,27,42,22,46717750,0.414,0.447,0.463,0.447,0.383,5558,1462,286,17,141,459,1200,68,23,89,49,720,4.52,2,10,39,4305,1545,156,620,1060,104,168,0.98,1861549,0.42
0.525,0.529,865,812,29.3,30.5,45,23,88273333,0.543,0.531,0.531,0.497,0.531,5687,1518,294,41,216,626,1203,92,25,95,44,747,4.6,4,6,42,4381,1561,211,512,1138,104,153,0.98,2701815,0.549
0.574,0.527,771,727,29.5,27,41,21,62243079,0.543,0.562,0.593,0.636,0.63,5500,1429,266,22,175,650,976,61,20,50,56,679,4.21,5,11,54,4355,1525,162,529,1003,84,173,0.98,1976625,0.469
0.599,0.587,930,767,30.9,32.5,49,25,194663079,0.586,0.623,0.623,0.64,0.594,5651,1608,327,21,210,649,1053,139,35,72,49,708,4.41,5,8,43,4331,1463,170,496,1019,104,145,0.98,4248067,0.58
0.599,0.56,834,731,30.2,32.2,49,27,101084963,0.512,0.438,0.41,0.466,0.506,5558,1469,323,41,200,547,1071,146,35,62,47,673,4.14,5,12,43,4384,1402,180,527,1161,104,131,0.98,3379535,0.543
0.593,0.572,801,683,28.2,26.9,39,17,63396006,0.512,0.568,0.556,0.584,0.525,5602,1608,275,34,143,490,872,101,42,50,55,632,3.95,1,6,40,4318,1490,182,356,1164,84,135,0.98,2285018,0.488
0.463,0.44,730,833,28.8,28.3,49,27,57568333,0.5,0.416,0.42,0.346,0.42,5433,1400,301,20,180,502,1233,71,37,82,53,763,4.82,7,8,43,4277,1454,177,514,1145,117,126,0.98,2335643,0.512
0.543,0.54,820,751,29.9,30.4,50,22,98447187,0.438,0.574,0.525,0.568,0.531,5628,1552,307,58,153,601,959,128,49,51,48,686,4.23,1,10,40,4381,1524,152,492,1068,115,174,0.98,3758545,0.506
0.383,0.388,757,971,29.6,27.7,55,31,47294000,0.346,0.358,0.512,0.383,0.401,5589,1515,335,37,124,474,1040,65,34,64,48,896,5.65,3,5,35,4279,1648,213,637,904,98,189,0.98,1372638,0.426
0.506,0.51,735,719,30.5,29.8,39,19,88694435,0.549,0.568,0.537,0.519,0.574,5521,1407,275,27,174,585,1076,79,36,73,46,666,4.08,5,12,42,4406,1425,182,480,1160,80,164,0.98,3022763,0.451
0.481,0.492,758,772,25.6,25.9,40,21,14671500,0.512,0.512,0.562,0.488,0.469,5502,1454,309,42,182,497,1249,110,58,74,42,696,4.37,6,6,41,4300,1465,166,622,1088,126,166,0.97,1164134,0.438
0.586,0.589,822,675,29.3,28.8,40,19,82612866,0.438,0.444,0.265,0.342,0.407,5642,1548,294,40,203,430,1133,60,40,45,36,618,3.84,3,16,46,4344,1420,160,489,1003,106,162,0.98,2595937,0.543
0.469,0.501,813,812,27.8,28.8,50,24,41233000,0.414,0.42,0.457,0.451,0.451,5562,1504,325,54,157,561,1108,85,50,60,45,749,4.66,5,8,34,4342,1549,155,553,952,91,190,0.98,2104362,0.552
0.481,0.549,870,782,27.8,28.6,45,23,56031500,0.574,0.494,0.42,0.457,0.562,5619,1576,351,27,196,556,1204,55,23,54,43,698,4.41,13,13,24,4270,1583,166,429,948,118,165,0.98,1997995,0.593
0.494,0.469,749,801,29.6,29.5,54,29,60909519,0.451,0.469,0.426,0.481,0.407,5515,1419,291,12,217,614,1192,124,33,59,38,725,4.51,9,10,36,4337,1576,213,464,1053,128,139,0.97,2134607,0.444
0.556,0.541,868,794,29.6,27.9,37,18,102750667,0.611,0.512,0.531,0.5,0.512,5657,1586,291,20,236,502,1056,93,48,58,57,743,4.61,5,11,46,4347,1534,200,433,1012,90,145,0.98,2957414,0.444
0.407,0.431,716,834,28.6,28,46,23,94424499,0.488,0.549,0.543,0.414,0.543,5587,1496,271,46,166,395,928,121,49,43,37,758,4.74,2,7,29,4317,1396,210,687,1250,106,122,0.98,3123215,0.525
0.531,0.497,820,825,30.5,31.1,53,28,120099824,0.586,0.605,0.586,0.574,0.509,5619,1510,327,16,192,672,1056,51,23,66,56,773,4.83,3,6,46,4324,1570,181,509,1070,66,174,0.98,2930588,0.593
0.432,0.428,768,899,30.3,27.9,46,24,72585582,0.457,0.481,0.438,0.414,0.391,5610,1556,288,20,164,474,878,121,32,73,41,843,5.35,5,9,35,4257,1579,216,613,1016,102,156,0.98,2153139,0.426
