W-L,pythW-L,R,RA,BatAge,PAge,#Bat,#P,ttlsalary,YPN2,YPN3,YPN4,YPN5,YPN6,AB,H,2b,3b,hr,bb,so,sb,cs,hbp,sf,ER,ERA,CG,SHO,SV,IPOuts,HA,HRA,BBA,SOA,E,DP,FP,attendance,YearP1W
0.525,0.523,745,709,27.8,27.9,52,26,84393333,0.574,0.426,0.407,0.395,0.422,5620,1460,298,14,212,416,1125,79,29,36,45,678,4.2,2,1,57,4359,1438,202,473,1169,54,165,0.991,2357561,0.593
0.593,0.603,688,548,26.8,27.2,44,21,87871525,0.58,0.549,0.562,0.531,0.444,5441,1354,247,21,181,542,1384,64,31,55,35,512,3.18,1,0,53,4351,1326,127,409,1232,85,140,0.986,2548679,0.488
0.5,0.493,685,695,28.1,27.6,44,23,90132000,0.5,0.58,0.401,0.432,0.506,5676,1468,302,31,130,519,1142,62,41,43,43,651,3.92,6,2,38,4485,1460,176,485,1218,75,134,0.988,2134795,0.395
0.481,0.498,733,737,27.8,29.1,49,26,124174750,0.549,0.531,0.494,0.599,0.617,5588,1476,270,39,164,523,1221,82,34,48,64,685,4.24,4,2,41,4373,1475,167,533,1200,112,135,0.981,3019505,0.605
0.605,0.594,731,594,27.2,27,43,19,80855143,0.497,0.426,0.364,0.366,0.451,5615,1468,301,25,194,479,1325,105,35,41,36,543,3.34,3,1,51,4405,1296,129,497,1325,94,134,0.99,2370794,0.531
0.451,0.459,716,784,27.9,27.8,54,34,75009200,0.5,0.525,0.463,0.531,0.512,5487,1346,247,22,198,473,1251,123,41,55,45,745,4.64,5,4,29,4331,1439,204,574,1142,101,168,0.98,2099663,0.457
0.574,0.561,808,707,29.7,28.8,39,21,120510974,0.593,0.556,0.537,0.488,0.463,5590,1526,303,32,200,478,1103,91,44,57,53,639,4.02,7,2,43,4326,1378,175,446,1286,85,136,0.99,3460280,0.558
0.556,0.586,697,577,29.7,28.1,43,18,64173500,0.562,0.593,0.519,0.599,0.407,5398,1293,250,30,175,571,1323,134,44,58,42,518,3.19,7,4,50,4379,1233,139,469,1383,114,154,0.98,1559681,0.564
0.543,0.575,765,648,29.2,28.6,45,24,110300862,0.556,0.531,0.562,0.531,0.481,5622,1526,290,37,159,533,1192,91,37,53,49,603,3.71,4,2,42,4388,1420,134,436,1218,107,149,0.98,3262109,0.599
0.58,0.546,718,649,27.8,30,45,23,117620683,0.531,0.568,0.543,0.444,0.438,5558,1495,287,57,103,483,1097,118,39,29,61,593,3.68,5,4,53,4353,1361,142,489,1237,115,134,0.98,3377371,0.469
0.463,0.477,619,651,27.1,27.9,38,18,81978100,0.414,0.377,0.525,0.377,0.543,5494,1285,241,27,149,466,1259,104,35,30,35,608,3.76,8,6,43,4370,1359,166,449,1166,72,153,0.99,1721920,0.438
0.469,0.46,651,710,27.4,28,53,30,55244700,0.438,0.556,0.463,0.389,0.546,5422,1339,272,43,121,539,1238,155,46,54,34,640,4.01,4,3,43,4304,1356,162,539,1205,121,97,0.98,2123721,0.469
0.488,0.484,651,674,27.6,30.2,49,25,62951999,0.444,0.352,0.385,0.414,0.42,5412,1313,241,37,170,444,1354,73,52,51,45,615,3.91,2,1,45,4300,1357,153,490,1192,112,126,0.98,2091918,0.58
0.5,0.503,684,680,31.1,29.1,49,24,174538938,0.63,0.599,0.574,0.568,0.549,5544,1414,271,28,158,454,1094,116,23,63,39,618,3.86,5,4,42,4354,1387,178,409,1385,101,118,0.98,3565718,0.451
0.58,0.568,713,614,27.7,27.9,50,25,55372500,0.457,0.5,0.463,0.466,0.469,5527,1315,267,32,195,550,1387,122,32,45,34,569,3.5,1,0,47,4410,1360,147,462,1136,111,136,0.98,1679013,0.593
0.586,0.584,804,668,32.7,30.3,45,23,196522289,0.599,0.586,0.636,0.549,0.58,5524,1462,280,13,245,565,1176,93,27,62,49,618,3.86,6,2,51,4336,1401,190,431,1318,74,135,0.99,3542406,0.525
0.457,0.46,650,709,27.9,30.3,49,28,93353983,0.475,0.488,0.432,0.549,0.543,5450,1357,286,21,139,503,1250,79,38,42,30,651,4.09,7,5,36,4302,1368,161,488,1240,101,135,0.98,2242803,0.457
0.407,0.422,701,832,28.8,27.8,47,25,94085000,0.389,0.58,0.534,0.54,0.488,5562,1448,270,30,131,505,1069,135,37,53,56,762,4.77,3,1,35,4316,1536,198,465,943,107,187,0.98,2776354,0.407
0.512,0.526,776,733,29.2,29,46,23,97653944,0.593,0.475,0.494,0.556,0.512,5557,1442,300,39,202,466,1240,158,39,90,35,682,4.22,0,0,44,4361,1458,169,525,1402,99,132,0.98,2831385,0.457
0.531,0.53,637,597,30.4,29,50,25,95143575,0.509,0.494,0.586,0.519,0.506,5438,1369,269,23,116,481,1156,104,44,52,38,538,3.35,2,2,40,4349,1277,122,539,1276,98,137,0.98,3324246,0.568
0.444,0.455,676,746,26.1,27.3,46,25,60916225,0.438,0.414,0.401,0.463,0.426,5636,1492,295,37,131,404,1032,132,38,42,41,693,4.3,2,1,44,4354,1504,163,542,1177,113,169,0.98,1739859,0.531
0.34,0.362,583,794,26.6,27.2,50,26,60651000,0.346,0.469,0.457,0.534,0.451,5407,1276,238,28,146,463,1365,105,46,58,30,721,4.57,3,2,31,4270,1493,173,540,1170,118,131,0.98,1607733,0.315
0.426,0.422,609,724,28.3,28.8,45,21,118078000,0.444,0.494,0.537,0.522,0.438,5437,1327,261,39,137,484,1228,149,41,35,40,655,4.1,5,3,38,4322,1448,133,495,1113,103,154,0.98,2219444,0.383
0.543,0.537,726,670,28,28.2,47,23,132300000,0.586,0.5,0.528,0.457,0.543,5476,1467,279,39,163,511,1103,59,23,57,39,596,3.77,9,3,40,4292,1409,151,438,1318,99,127,0.98,3028033,0.574
0.395,0.427,758,890,28.1,28.2,49,27,78069571,0.451,0.512,0.568,0.457,0.552,5577,1526,306,52,166,450,1213,100,40,36,39,824,5.22,0,0,36,4266,1637,198,566,1144,122,138,0.98,2630458,0.457
0.42,0.393,667,845,27.8,27.6,48,24,78430300,0.494,0.426,0.401,0.5,0.593,5525,1385,266,24,136,555,1087,110,44,59,39,766,4.79,2,1,43,4326,1503,174,543,1086,96,156,0.98,1603596,0.568
0.599,0.559,669,588,28.8,27.1,38,17,82203616,0.488,0.562,0.481,0.457,0.444,5477,1377,296,30,172,481,1266,87,27,47,37,540,3.34,9,2,56,4359,1356,152,427,1248,89,113,0.99,2347251,0.556
0.525,0.546,748,676,29.9,27.5,45,25,96919500,0.488,0.543,0.488,0.546,0.444,5518,1409,228,29,211,461,1203,109,43,65,36,646,4.02,6,2,37,4337,1365,186,503,1246,70,154,0.99,1965955,0.389
0.377,0.403,613,759,27.8,27.9,53,30,88197033,0.438,0.463,0.516,0.602,0.525,5411,1297,265,36,137,447,1235,94,45,43,24,708,4.51,1,0,28,4241,1399,175,573,1128,105,148,0.98,2882756,0.407
0.426,0.457,734,806,29.4,28.7,56,26,173186617,0.556,0.549,0.586,0.586,0.593,5604,1459,339,16,165,428,1197,97,31,45,55,754,4.72,6,2,35,4329,1449,190,529,1176,101,159,0.98,3043003,0.599
0.574,0.505,712,705,28,27.6,52,26,77353999,0.426,0.407,0.395,0.422,0.426,5560,1375,270,16,214,480,1315,58,29,50,30,642,3.9,1,1,55,4449,1433,184,481,1177,106,150,0.98,2102240,0.525
0.58,0.57,700,600,28.5,27.6,41,21,82829942,0.549,0.562,0.531,0.444,0.519,5425,1341,263,30,149,567,1289,101,32,34,46,549,3.42,5,4,47,4336,1310,145,464,1232,86,146,0.99,2420171,0.593
0.5,0.53,734,688,28.3,27.4,48,23,73804833,0.58,0.401,0.432,0.506,0.556,5462,1416,307,33,165,539,1266,93,51,41,45,626,3.94,4,2,39,4301,1432,155,417,1200,90,144,0.99,2177617,0.5
0.549,0.542,767,699,28.8,30.1,44,23,154485166,0.531,0.494,0.599,0.617,0.58,5536,1518,273,22,187,449,1113,134,33,47,41,640,4.02,6,5,38,4300,1339,186,483,1157,98,138,0.98,3061770,0.481
0.497,0.486,624,643,28.4,27.6,44,24,63856928,0.426,0.364,0.366,0.451,0.438,5441,1319,257,22,154,470,1323,106,38,65,32,577,3.58,3,10,49,4348,1403,129,477,1049,104,145,0.98,1940478,0.605
0.5,0.489,743,761,28.4,27.6,53,30,62567800,0.525,0.463,0.531,0.512,0.537,5559,1384,285,34,186,525,1184,131,52,48,47,700,4.33,7,10,33,4376,1433,179,540,1169,110,146,0.98,1818103,0.451
0.593,0.605,855,677,29.2,28.8,45,25,92299264,0.556,0.537,0.488,0.463,0.494,5659,1599,310,32,210,475,930,143,45,39,49,607,3.79,10,19,38,4324,1327,170,461,1179,114,162,0.98,2946949,0.574
0.562,0.564,707,614,28.3,27.8,42,21,41053571,0.593,0.519,0.599,0.407,0.377,5436,1324,273,37,172,571,1193,155,62,73,35,577,3.58,15,13,32,4347,1263,161,504,1143,73,139,0.99,1529188,0.556
0.556,0.544,762,692,29.3,30.2,46,24,105433572,0.531,0.562,0.531,0.481,0.516,5532,1513,308,22,162,542,978,57,39,44,40,608,3.79,7,9,47,4386,1461,136,448,1098,116,167,0.98,3093954,0.543
0.531,0.494,570,578,30.2,28.5,44,17,118198333,0.568,0.543,0.444,0.438,0.472,5486,1327,282,24,121,448,1122,85,51,52,43,522,3.21,3,12,52,4404,1260,96,559,1316,104,127,0.98,3387303,0.58
0.414,0.412,556,675,29.2,26.8,47,21,86110600,0.377,0.525,0.377,0.543,0.481,5421,1263,253,22,109,435,1280,125,40,37,41,621,3.91,12,10,39,4299,1369,145,436,1088,108,152,0.98,1939421,0.463
0.438,0.486,593,611,28,28.1,48,22,45869140,0.556,0.463,0.389,0.546,0.543,5417,1284,247,42,91,501,1320,170,44,48,47,551,3.43,0,10,44,4348,1324,125,521,1139,94,138,0.99,2143018,0.469
0.444,0.43,610,712,27.2,28.1,52,25,45047000,0.352,0.385,0.414,0.42,0.414,5421,1325,277,35,107,489,1308,108,52,34,44,650,4.05,5,11,43,4348,1513,152,535,1031,112,154,0.98,1940429,0.488
0.63,0.633,713,529,31.4,29.2,42,23,172976379,0.599,0.574,0.568,0.549,0.525,5579,1409,258,38,153,539,1024,96,24,56,38,495,3.02,18,21,47,4431,1320,120,404,1299,74,134,0.99,3680718,0.5
0.457,0.477,645,679,29,27.4,48,26,66536500,0.5,0.463,0.466,0.469,0.574,5452,1330,280,29,114,509,1094,117,43,50,57,597,3.71,6,12,39,4343,1380,136,519,1160,124,145,0.98,1476791,0.58
0.599,0.624,867,657,30.5,31,48,28,202275028,0.586,0.636,0.549,0.58,0.599,5518,1452,267,33,222,627,1138,147,46,74,51,605,3.73,5,8,47,4375,1423,152,507,1222,102,140,0.98,3653680,0.586
0.475,0.485,718,742,28,30,46,23,118847309,0.488,0.432,0.549,0.543,0.599,5600,1477,309,39,108,571,1085,130,35,51,48,674,4.19,6,9,43,4344,1482,147,514,1126,116,125,0.98,2352596,0.457
0.389,0.383,619,804,27.6,28.5,45,24,112737000,0.58,0.534,0.54,0.488,0.593,5487,1357,259,25,103,440,1048,92,39,37,25,724,4.6,7,8,32,4265,1564,161,480,940,119,153,0.98,3168116,0.407
0.593,0.556,721,638,28.9,29.3,48,22,85497333,0.475,0.494,0.556,0.512,0.463,5447,1422,276,31,185,481,1083,94,31,56,44,582,3.64,1,13,47,4325,1348,147,440,1257,111,131,0.98,3071373,0.512
0.509,0.523,644,612,29.8,28.6,48,21,104188999,0.494,0.586,0.519,0.506,0.543,5436,1395,237,28,117,498,1087,126,40,45,43,563,3.56,7,17,40,4296,1287,132,507,1265,85,121,0.99,2935139,0.531
0.438,0.48,730,762,25.8,26.4,42,23,35712000,0.414,0.401,0.463,0.426,0.383,5672,1560,325,41,129,442,1006,153,58,39,57,716,4.45,2,6,37,4354,1487,163,557,1080,95,149,0.99,1724450,0.444
0.346,0.384,615,796,28.2,27.2,47,23,70694000,0.469,0.457,0.534,0.451,0.506,5598,1442,309,28,95,401,1164,118,33,46,37,719,4.51,2,6,25,4305,1477,188,560,1191,116,139,0.98,2067016,0.34
0.444,0.447,625,702,27.4,28,44,22,56944000,0.494,0.537,0.522,0.438,0.481,5508,1358,274,30,149,542,1244,95,41,51,42,640,3.95,7,11,40,4379,1403,149,500,1218,93,126,0.99,1477462,0.426
0.586,0.546,787,711,28.6,27.8,45,26,105700231,0.5,0.528,0.457,0.543,0.586,5563,1540,297,34,169,521,1143,49,20,39,58,647,4.04,4,14,52,4320,1406,149,492,1115,103,146,0.98,2642045,0.543
0.451,0.476,735,774,28.6,27.7,55,29,88148071,0.512,0.568,0.457,0.552,0.469,5544,1429,274,40,163,555,1201,118,42,57,44,713,4.44,5,7,41,4343,1471,176,522,1118,98,156,0.98,2909777,0.395
0.494,0.465,704,760,27.8,26.7,46,22,48776566,0.426,0.401,0.5,0.593,0.481,5509,1380,290,26,154,494,1269,89,42,65,43,683,4.24,2,4,38,4360,1482,153,463,1024,110,131,0.98,1840835,0.42
0.488,0.509,735,720,28.6,27.7,42,21,75947134,0.562,0.481,0.457,0.444,0.494,5612,1438,264,19,183,535,1250,97,50,63,40,678,4.16,4,5,39,4403,1414,185,539,1112,91,145,0.99,2213588,0.599
0.488,0.465,654,706,29.9,28.5,42,22,127789000,0.543,0.488,0.546,0.444,0.556,5502,1387,252,16,154,475,989,81,53,84,46,665,4.1,6,14,42,4380,1463,147,439,1220,79,128,0.99,2001117,0.525
0.438,0.434,654,756,29.3,29.4,42,22,125047329,0.463,0.516,0.602,0.525,0.407,5549,1423,285,36,148,425,1202,69,23,59,35,690,4.34,4,5,40,4303,1439,162,580,1224,134,128,0.98,3017966,0.377
0.556,0.578,875,737,30,30.3,49,27,161762475,0.549,0.586,0.586,0.593,0.531,5710,1600,352,35,203,578,1108,102,42,50,50,680,4.2,2,13,36,4372,1366,156,540,1213,92,120,0.99,3054001,0.426
0.426,0.412,708,860,28.3,28.2,50,27,85304038,0.407,0.395,0.422,0.426,0.432,5585,1434,273,13,191,452,1120,81,25,52,43,786,4.92,3,7,32,4340,1568,210,535,1044,110,159,0.98,1755461,0.574
0.549,0.526,641,605,28.9,28.4,45,21,87002692,0.562,0.531,0.444,0.519,0.488,5528,1345,244,16,173,504,1260,77,44,28,30,572,3.49,3,16,52,4439,1332,125,521,1332,83,131,0.99,2372940,0.58
0.58,0.545,731,662,28.2,27.4,51,25,53639833,0.401,0.432,0.506,0.556,0.469,5421,1357,293,37,172,531,1249,133,55,61,33,609,3.8,5,12,58,4330,1414,159,442,1058,90,130,0.99,2105432,0.5
0.531,0.524,667,633,28.9,28.4,43,21,138543166,0.494,0.599,0.617,0.58,0.549,5513,1394,289,34,155,442,1086,135,52,51,32,581,3.57,12,11,39,4395,1388,142,476,1058,93,157,0.99,3166321,0.549
0.426,0.443,655,742,29.1,28,46,26,61400000,0.364,0.366,0.451,0.438,0.5,5418,1355,250,31,149,503,1220,110,41,60,47,658,4.13,2,5,37,4305,1469,151,512,1068,142,146,0.98,1828066,0.497
0.525,0.517,755,728,29.3,28,44,24,62234000,0.463,0.531,0.512,0.537,0.494,5495,1364,319,21,257,471,1164,58,20,55,34,676,4.23,5,11,45,4322,1407,150,539,1184,102,172,0.98,1625555,0.5
0.556,0.562,787,687,28.3,27.6,48,22,55250544,0.537,0.488,0.463,0.494,0.488,5635,1556,268,25,162,511,986,123,48,45,54,636,3.93,7,8,46,4366,1355,162,551,1181,123,132,0.98,2505171,0.593
0.593,0.596,802,649,27.7,28,37,17,71923471,0.519,0.599,0.407,0.377,0.414,5439,1343,295,37,160,672,1292,172,47,57,57,611,3.78,6,12,51,4361,1347,175,478,1189,95,134,0.98,1843445,0.562
0.531,0.563,736,641,28.8,30.2,42,22,93540751,0.562,0.531,0.481,0.516,0.617,5542,1456,285,18,150,541,1027,79,41,50,40,577,3.57,7,16,32,4361,1412,133,477,1094,109,170,0.98,3301218,0.556
0.568,0.581,697,583,29.6,27.9,42,19,98641333,0.543,0.444,0.438,0.472,0.463,5488,1411,284,30,162,487,1099,55,32,50,41,546,3.36,6,17,57,4383,1279,134,578,1331,80,110,0.98,3037443,0.531
0.377,0.363,513,698,29.4,27.1,47,22,86510000,0.525,0.377,0.543,0.481,0.426,5409,1274,227,16,101,459,1184,142,39,39,40,628,3.95,11,10,38,4314,1402,157,452,973,122,146,0.98,2085488,0.414
0.556,0.561,665,581,29.1,27.2,40,19,37799300,0.463,0.389,0.546,0.543,0.506,5434,1338,236,24,132,538,1183,124,50,50,46,549,3.41,2,20,49,4369,1305,139,517,1295,85,142,0.98,2131774,0.438
0.352,0.329,587,866,26.5,28.6,52,28,34943000,0.385,0.414,0.42,0.414,0.414,5386,1303,276,27,126,463,1207,87,36,33,33,784,5,1,6,31,4235,1567,167,538,1026,142,119,0.98,1613399,0.444
0.599,0.585,772,640,31.8,31.1,42,21,141928379,0.574,0.568,0.549,0.525,0.543,5581,1451,290,34,166,560,1064,108,21,63,43,594,3.68,14,21,40,4369,1402,168,416,1183,93,156,0.98,3647249,0.63
0.5,0.526,663,626,27.7,26,49,23,55254900,0.463,0.466,0.469,0.574,0.543,5448,1396,276,30,109,527,1061,156,38,47,51,566,3.58,7,17,38,4295,1315,153,512,1070,110,146,0.98,1418391,0.457
0.586,0.597,859,693,30.2,30.3,43,21,206333389,0.636,0.549,0.58,0.599,0.586,5567,1485,275,32,201,662,1136,103,30,73,44,651,4.06,3,8,39,4327,1349,179,540,1154,79,161,0.98,3765807,0.599
